PID,GrLivArea,SalePrice,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,Lot_Frontage_%,Living_Area_%of_Lot,Interior_Area_%of_Lot,1stFlr_%of_Living_Area,Total_Bathrooms_prorated,Kitchens_prorated,Home_Age,Yrs_Since_Remodel
528186170,1342,219500,120,RL,48.0,6240,Pave,No Alley Access,3,Lvl,1,Inside,0,NridgHt,Norm,Norm,TwnhsE,1Story,7,4,2006,2007,Hip,CompShg,MetalSd,MetalSd,BrkFace,196.0,2,2,PConc,4,3,1,6,24.0,1,0.0,1318.0,1342.0,GasA,4,Y,3,1342,0,0,0.0,0.0,2,0,2,1,3,6,6,1,4,Attchd,2007.0,2,2.0,550.0,3,3,2,0,35,0,0,0,0,0,0,No Misc Feature,0,2,2008,WD ,Normal,0.007692307692307693,0.21506410256410258,0.5182692307692308,1.0,2.0,0.8,2,1
923426070,1274,136000,60,RL,63.0,10475,Pave,No Alley Access,3,Lvl,1,Inside,0,Mitchel,Norm,Norm,1Fam,2Story,4,4,1991,1991,Gable,CompShg,HdBoard,HdBoard,No Veneer,0.0,1,2,PConc,4,3,1,3,458.0,1,0.0,166.0,624.0,GasA,3,Y,3,624,650,0,0.0,0.0,1,1,3,1,2,6,6,0,0,Detchd,1993.0,1,2.0,576.0,3,3,2,22,0,0,0,0,0,0,2,No Misc Feature,0,3,2010,WD ,Normal,0.006014319809069212,0.12162291169451074,0.23618138424821003,0.4897959183673469,1.875,0.6000000000000001,19,19
902204080,861,80000,30,RM,62.0,7404,Pave,No Alley Access,3,Lvl,1,Corner,0,OldTown,Norm,Norm,1Fam,1Story,3,5,1920,1950,Gable,CompShg,MetalSd,MetalSd,No Veneer,0.0,1,2,BrkTil,2,3,1,1,0.0,1,0.0,861.0,861.0,GasA,2,Y,3,861,0,0,0.0,0.0,1,0,2,1,2,5,6,0,0,Detchd,1920.0,1,2.0,288.0,3,3,0,0,0,128,0,0,0,0,0,No Misc Feature,0,11,2009,Oth,Normal,0.008373851971907077,0.11628849270664506,0.2714748784440843,1.0,1.0,0.6000000000000001,89,59
535105100,1394,159000,20,RL,60.76244490095111,9500,Pave,No Alley Access,2,Lvl,1,Inside,0,NAmes,Norm,Norm,1Fam,1Story,5,4,1963,1963,Gable,CompShg,Plywood,Plywood,BrkFace,247.0,1,2,CBlock,4,3,1,4,609.0,1,0.0,785.0,1394.0,GasA,3,Y,3,1394,0,0,1.0,0.0,1,1,3,1,2,6,6,2,4,Attchd,1963.0,2,2.0,514.0,3,3,2,0,76,0,0,185,0,0,0,No Misc Feature,0,7,2009,WD ,Normal,0.006396046831679064,0.14673684210526317,0.34757894736842104,1.0,2.625,0.6000000000000001,46,46
907405020,1536,214000,20,RL,70.0,9135,Pave,No Alley Access,3,Lvl,1,Inside,0,CollgCr,Norm,Norm,1Fam,1Story,6,4,2002,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,113.0,2,2,PConc,4,3,3,6,810.0,1,0.0,726.0,1536.0,GasA,4,Y,3,1536,0,0,1.0,0.0,2,0,3,1,3,7,6,0,0,Attchd,2002.0,2,2.0,532.0,3,3,2,192,74,0,0,0,0,0,0,No Misc Feature,0,12,2008,WD ,Normal,0.007662835249042145,0.16814449917898194,0.3945265462506842,1.0,2.75,0.8,6,5
531382110,1680,163000,60,RL,50.0,8480,Pave,No Alley Access,2,Lvl,1,Inside,0,SawyerW,Norm,Norm,1Fam,2Story,5,4,1993,1994,Gable,CompShg,HdBoard,HdBoard,BrkFace,120.0,2,2,PConc,4,3,1,6,602.0,1,0.0,284.0,886.0,GasA,4,Y,3,886,794,0,0.0,1.0,2,1,3,1,3,7,6,0,0,Attchd,1993.0,2,2.0,474.0,3,3,2,144,96,0,0,0,0,0,0,No Misc Feature,0,10,2008,WD ,Normal,0.00589622641509434,0.19811320754716982,0.3584905660377358,0.5273809523809524,2.875,0.8,15,14
906380120,1274,203000,20,RL,68.0,8814,Pave,No Alley Access,3,Lvl,1,Inside,0,CollgCr,Norm,Norm,1Fam,1Story,6,4,2005,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,80.0,2,2,PConc,4,3,1,6,925.0,1,0.0,349.0,1274.0,GasA,4,Y,3,1274,0,0,1.0,0.0,2,0,3,1,3,6,6,0,0,Attchd,2005.0,2,2.0,508.0,3,3,2,264,98,0,0,0,0,0,0,No Misc Feature,0,1,2007,New,Partial,0.007714998865441343,0.14454277286135694,0.3467211254821874,1.0,2.75,0.8,2,0
909101060,864,67000,30,RL,45.0,8248,Pave,Grvl,3,Lvl,1,Inside,0,Edwards,Norm,Norm,1Fam,1Story,2,2,1914,1950,Gable,CompShg,Stucco,Stucco,No Veneer,0.0,1,2,BrkTil,3,3,1,4,41.0,1,0.0,823.0,864.0,GasA,2,N,1,864,0,0,1.0,0.0,1,0,2,1,2,5,6,0,0,No Garage,1914.0,0,0.0,0.0,0,0,0,0,0,100,0,0,0,0,0,No Misc Feature,0,9,2008,WD ,Normal,0.005455868089233754,0.10475266731328807,0.20950533462657614,1.0,1.75,0.6000000000000001,94,58
534152050,1610,205000,20,RL,67.81728455629312,10603,Pave,No Alley Access,2,Lvl,1,Inside,0,NWAmes,Norm,Norm,1Fam,1Story,5,6,1977,2001,Gable,CompShg,Plywood,Plywood,BrkFace,28.0,1,2,PConc,3,3,2,5,1200.0,1,0.0,410.0,1610.0,GasA,3,Y,3,1610,0,0,1.0,0.0,2,0,3,1,3,6,6,2,3,Attchd,1977.0,2,2.0,480.0,3,3,2,168,68,0,0,0,0,0,0,No Misc Feature,0,2,2010,WD ,Normal,0.006396046831679064,0.15184381778741865,0.3489578421201547,1.0,2.75,0.8,33,9
923252075,1091,131250,80,RL,62.0,7706,Pave,No Alley Access,3,Lvl,1,Inside,0,Mitchel,Norm,Norm,1Fam,SLvl,5,4,1993,1996,Gable,CompShg,HdBoard,HdBoard,No Veneer,0.0,1,3,CBlock,4,3,3,3,114.0,6,270.0,0.0,384.0,GasA,4,Y,3,1091,0,0,0.0,1.0,1,0,2,1,2,5,6,0,0,Attchd,1993.0,3,1.0,429.0,3,3,2,280,0,0,0,0,0,0,0,Shed,700,8,2009,WD ,Normal,0.008045678691928368,0.14157799117570724,0.24708019724889696,1.0,1.0,0.6000000000000001,16,13
531376060,1486,181000,20,RL,65.0,7441,Pave,No Alley Access,2,Lvl,1,Inside,0,SawyerW,Norm,Norm,1Fam,1Story,6,4,2006,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,170.0,2,2,PConc,4,3,1,1,0.0,1,0.0,1461.0,1461.0,GasA,4,Y,3,1486,0,0,0.0,0.0,2,0,3,1,3,7,6,0,0,Attchd,2006.0,2,2.0,566.0,3,3,2,0,32,0,0,0,0,0,0,No Misc Feature,0,6,2007,WD ,Normal,0.008735385028893965,0.19970434081440666,0.47211396317699234,1.0,2.0,0.8,1,1
902201120,789,115000,20,RM,50.0,6000,Pave,No Alley Access,3,Lvl,1,Inside,0,OldTown,Norm,Norm,1Fam,1Story,4,4,1948,1950,Gable,CompShg,VinylSd,VinylSd,No Veneer,0.0,1,2,CBlock,3,3,1,5,104.0,4,169.0,516.0,789.0,GasA,4,Y,3,789,0,0,0.0,0.0,1,0,2,1,2,5,6,0,0,Detchd,1948.0,1,1.0,250.0,3,3,2,0,0,0,0,0,0,0,0,No Misc Feature,0,4,2008,WD ,Partial,0.008333333333333333,0.1315,0.30466666666666664,1.0,1.0,0.6000000000000001,60,58
923228080,1092,98000,160,RM,21.0,1477,Pave,No Alley Access,3,Lvl,1,Inside,0,MeadowV,Norm,Norm,Twnhs,2Story,5,8,1970,2007,Gable,CompShg,CemntBd,CmentBd,No Veneer,0.0,1,3,CBlock,3,3,1,6,358.0,1,0.0,188.0,546.0,GasA,4,Y,3,546,546,0,0.0,0.0,2,1,3,1,2,6,6,0,0,No Garage,1970.0,0,0.0,0.0,0,0,2,187,0,0,0,0,0,0,0,No Misc Feature,0,3,2008,WD ,Normal,0.014218009478672985,0.7393364928909952,1.1090047393364928,0.5,2.875,0.6000000000000001,38,1
902326030,2640,265979,70,RM,65.0,11700,Pave,Pave,2,Lvl,1,Corner,0,OldTown,Norm,Norm,1Fam,2Story,6,6,1880,2003,Mansard,CompShg,Stucco,Stucco,No Veneer,0.0,2,2,Stone,3,2,1,1,0.0,1,0.0,1240.0,1240.0,GasW,2,N,3,1320,1320,0,0.0,0.0,1,1,4,1,3,8,6,1,4,Detchd,1950.0,1,4.0,864.0,3,3,0,181,0,386,0,0,0,0,0,No Misc Feature,0,5,2009,WD ,Normal,0.005555555555555556,0.22564102564102564,0.40547008547008545,0.5,1.875,0.8,129,6
527451330,1092,105500,160,RM,21.0,1680,Pave,No Alley Access,3,Lvl,1,Inside,0,BrDale,Norm,Norm,Twnhs,2Story,4,4,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,492.0,1,2,CBlock,3,3,1,3,300.0,1,0.0,225.0,525.0,GasA,2,Y,3,525,567,0,0.0,0.0,1,1,3,1,2,6,6,0,0,Detchd,1997.0,1,1.0,320.0,3,3,2,0,0,0,0,0,0,0,0,No Misc Feature,0,3,2010,WD ,Normal,0.0125,0.65,1.1529761904761904,0.4807692307692308,1.875,0.6000000000000001,39,39
528218100,1458,168165,60,RL,58.0,13204,Pave,No Alley Access,2,Lvl,1,Inside,0,Gilbert,RRAn,Norm,1Fam,2Story,6,4,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,44.0,1,2,PConc,4,3,1,1,0.0,1,0.0,608.0,608.0,GasA,4,Y,3,608,850,0,0.0,0.0,2,0,3,1,3,6,6,0,0,BuiltIn,2007.0,3,2.0,454.0,3,3,2,100,33,0,0,0,0,0,0,No Misc Feature,0,5,2007,New,Partial,0.004392608300514996,0.11042108451984248,0.19085125719478946,0.4170096021947874,2.0,0.8,1,0
916386140,1466,201000,20,RL,73.0,8925,Pave,No Alley Access,2,HLS,1,Inside,0,Timber,Norm,Norm,1Fam,1Story,7,4,2007,2007,Gable,CompShg,VinylSd,VinylSd,No Veneer,0.0,2,2,PConc,4,3,3,6,16.0,1,0.0,1450.0,1466.0,GasA,4,Y,3,1466,0,0,0.0,0.0,2,0,3,1,3,7,6,0,0,Attchd,2007.0,3,3.0,610.0,3,3,2,100,18,0,0,0,0,0,0,No Misc Feature,0,7,2009,WD ,Normal,0.008179271708683473,0.1642577030812325,0.3968627450980392,1.0,2.0,0.8,2,2
533221090,1573,177500,160,FV,18.753711162367,2117,Pave,No Alley Access,3,Lvl,1,Inside,0,Somerst,Norm,Norm,Twnhs,2Story,5,4,2000,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,216.0,2,2,PConc,4,3,1,6,378.0,1,0.0,378.0,756.0,GasA,4,Y,3,769,804,0,0.0,0.0,2,1,3,1,3,5,6,0,0,Detchd,2000.0,1,2.0,440.0,3,3,2,0,32,0,0,0,0,0,0,No Misc Feature,0,6,2010,WD ,Normal,0.008858625962384034,0.7430325932923949,1.3079829948039678,0.4888747616020343,2.875,0.8,10,10
534128010,2090,200000,60,RL,66.40375820649204,10382,Pave,No Alley Access,2,Lvl,1,Corner,0,NWAmes,PosN,Norm,1Fam,2Story,6,5,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,1,2,CBlock,4,3,2,5,859.0,4,32.0,216.0,1107.0,GasA,4,Y,3,1107,983,0,1.0,0.0,2,1,3,1,2,7,6,2,3,Attchd,1973.0,2,2.0,484.0,3,3,2,235,204,228,0,0,0,0,0,Shed,350,11,2009,WD ,Normal,0.006396046831679064,0.20130995954536698,0.35455596224234254,0.529665071770335,3.625,0.6000000000000001,36,36
528106110,2046,450000,20,RL,105.0,15431,Pave,No Alley Access,3,Lvl,1,Inside,0,NridgHt,Norm,Norm,1Fam,1Story,9,4,2005,2006,Hip,CompShg,VinylSd,VinylSd,BrkFace,400.0,3,2,PConc,5,3,4,6,1430.0,1,0.0,564.0,1994.0,GasA,4,Y,3,2046,0,0,1.0,0.0,2,1,2,1,4,7,6,2,4,Attchd,2005.0,3,3.0,878.0,3,3,2,188,65,0,0,175,0,0,0,No Misc Feature,0,8,2007,WD ,Normal,0.006804484479294926,0.13259024042511827,0.3187090920873566,1.0,3.625,1.0,2,1
902206260,886,91300,30,RM,50.0,5784,Pave,No Alley Access,3,Lvl,1,Inside,0,OldTown,Artery,Norm,1Fam,1Story,4,7,1938,1996,Gable,CompShg,MetalSd,MetalSd,No Veneer,0.0,1,2,BrkTil,2,3,1,1,0.0,1,0.0,190.0,190.0,GasA,3,Y,2,886,0,0,0.0,0.0,1,0,2,1,2,4,6,0,0,Attchd,1938.0,1,1.0,273.0,3,3,2,144,20,80,0,0,0,0,0,No Misc Feature,0,12,2009,WD ,Normal,0.008644536652835409,0.15318118948824344,0.2332295988934993,1.0,1.0,0.6000000000000001,71,13
528222090,1258,173500,20,RL,64.0,7697,Pave,No Alley Access,3,Lvl,1,Inside,0,Gilbert,Norm,Norm,1Fam,1Story,6,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.0,2,2,PConc,4,3,1,1,0.0,1,0.0,1246.0,1246.0,GasA,4,Y,3,1258,0,0,0.0,0.0,2,0,3,1,3,6,6,0,0,Attchd,2007.0,2,2.0,462.0,3,3,2,0,0,0,0,0,0,0,0,No Misc Feature,0,8,2007,New,Partial,0.008314927893984669,0.16344030141613616,0.385344939586852,1.0,2.0,0.8,0,0
528218150,1324,199500,20,RL,100.0,18494,Pave,No Alley Access,2,Lvl,1,Corner,0,Gilbert,Norm,Norm,1Fam,1Story,5,4,2005,2005,Gable,CompShg,VinylSd,VinylSd,No Veneer,0.0,2,2,PConc,4,3,1,1,0.0,1,0.0,1324.0,1324.0,GasA,4,Y,3,1324,0,0,0.0,0.0,2,0,3,1,3,6,6,0,0,Attchd,2005.0,3,2.0,430.0,3,3,2,36,23,0,0,0,0,0,0,No Misc Feature,0,1,2010,WD ,Normal,0.005407159078620093,0.07159078620093003,0.16643235643992646,1.0,2.0,0.8,5,5
903400180,1848,207000,50,RL,64.0,13053,Pave,Pave,3,Bnk,1,Inside,0,BrkSide,Norm,Norm,1Fam,1.5Fin,5,6,1923,2000,Gambrel,CompShg,Wd Sdng,Wd Sdng,No Veneer,0.0,1,2,BrkTil,3,3,1,1,0.0,1,0.0,833.0,833.0,GasA,3,Y,3,1053,795,0,0.0,0.0,1,1,4,1,3,8,6,1,4,Detchd,1922.0,1,2.0,370.0,3,3,0,0,0,0,0,220,0,0,0,No Misc Feature,0,6,2008,WD ,Normal,0.0049030874128552825,0.14157664904619627,0.23373937025971042,0.5698051948051948,1.875,0.8,85,8
535453210,1269,155000,20,RL,70.0,7931,Pave,No Alley Access,3,Lvl,1,Inside,0,NAmes,Norm,Norm,1Fam,1Story,4,5,1960,1960,Gable,CompShg,BrkFace,Wd Sdng,No Veneer,0.0,1,2,CBlock,3,3,1,4,374.0,2,532.0,363.0,1269.0,GasA,2,Y,2,1269,0,0,0.0,0.0,1,1,3,1,2,6,6,1,2,Detchd,1964.0,1,1.0,308.0,3,3,2,0,0,0,0,0,0,0,0,No Misc Feature,0,6,2008,WD ,Normal,0.0088261253309797,0.16000504350018913,0.35884503845668897,1.0,1.875,0.6000000000000001,48,48
916386010,1346,220000,20,RL,88.0,11896,Pave,No Alley Access,2,Lvl,1,Corner,0,Timber,Norm,Norm,1Fam,1Story,6,4,2008,2008,Gable,CompShg,VinylSd,VinylSd,Stone,60.0,2,2,PConc,4,3,1,6,78.0,1,0.0,1258.0,1336.0,GasA,4,Y,3,1346,0,0,1.0,0.0,2,0,3,1,3,6,6,1,3,Attchd,2008.0,3,3.0,660.0,3,3,2,100,48,0,0,0,0,0,0,No Misc Feature,0,5,2010,WD ,Normal,0.007397444519166106,0.11314727639542703,0.2809347679892401,1.0,2.75,0.8,2,2
907181090,1749,196000,60,RL,68.0,9272,Pave,No Alley Access,2,Lvl,1,Inside,0,CollgCr,Norm,Norm,1Fam,2Story,6,4,1999,1999,Gable,CompShg,VinylSd,VinylSd,No Veneer,0.0,2,2,PConc,4,3,1,6,500.0,1,0.0,342.0,842.0,GasA,4,Y,3,856,893,0,0.0,0.0,2,1,3,1,3,7,6,0,0,Attchd,1999.0,2,2.0,515.0,3,3,2,140,85,0,0,0,0,0,0,No Misc Feature,0,6,2006,WD ,Normal,0.007333908541846419,0.18863244176013805,0.33498705780845556,0.4894225271583762,2.875,0.8,7,7
902206020,492,61500,30,RM,52.0,7830,Pave,No Alley Access,3,Lvl,1,Inside,0,OldTown,Norm,Norm,1Fam,1Story,2,4,1921,1950,Gable,CompShg,AsbShng,AsbShng,No Veneer,0.0,1,2,BrkTil,2,3,1,2,416.0,1,0.0,76.0,492.0,GasA,2,Y,3,492,0,0,1.0,0.0,1,0,1,1,2,3,6,0,0,Detchd,1921.0,1,1.0,200.0,2,3,0,0,0,78,0,0,0,0,0,No Misc Feature,0,6,2006,WD ,Normal,0.0066411238825031926,0.06283524904214559,0.151213282247765,1.0,1.75,0.6000000000000001,85,56
527327050,2030,195000,60,RL,77.046780134406,12046,Pave,No Alley Access,2,Lvl,1,Inside,0,NWAmes,Norm,Norm,1Fam,2Story,5,5,1976,1976,Gable,CompShg,Plywood,Plywood,BrkFace,298.0,1,2,CBlock,3,3,1,2,156.0,1,0.0,692.0,848.0,GasA,2,Y,3,1118,912,0,0.0,0.0,2,1,4,1,3,8,6,1,3,Attchd,1976.0,3,2.0,551.0,3,3,2,0,224,0,0,0,0,0,0,No Misc Feature,0,6,2007,WD ,Normal,0.006396046831679064,0.1685206707620787,0.2846588079030384,0.5507389162561577,2.875,0.8,31,31
527455250,988,129250,20,RL,65.0,7150,Pave,No Alley Access,3,Lvl,1,Inside,0,NAmes,Norm,Norm,1Fam,1Story,4,5,1966,1966,Hip,CompShg,HdBoard,HdBoard,BrkFace,52.0,1,2,CBlock,3,3,1,4,725.0,1,0.0,263.0,988.0,GasA,2,Y,3,988,0,0,1.0,0.0,1,0,3,1,2,5,6,0,0,Detchd,1974.0,1,1.0,360.0,3,3,2,0,0,0,0,0,0,0,0,No Misc Feature,0,11,2007,WD ,Normal,0.00909090909090909,0.13818181818181818,0.3267132867132867,1.0,1.75,0.6000000000000001,41,41
528326110,2172,291000,60,RL,80.4409293249826,11000,Pave,No Alley Access,3,Lvl,1,FR2,0,NoRidge,Norm,Norm,1Fam,2Story,8,4,2000,2000,Hip,CompShg,VinylSd,VinylSd,BrkFace,295.0,2,2,PConc,5,3,2,1,0.0,1,0.0,1519.0,1519.0,GasA,4,Y,3,1533,639,0,0.0,0.0,2,1,4,1,4,8,6,1,3,BuiltIn,2000.0,2,3.0,687.0,3,3,2,162,153,0,0,0,0,0,0,No Misc Feature,0,6,2008,WD ,Normal,0.0073128117568166005,0.19745454545454547,0.398,0.7058011049723757,2.875,1.0,8,8
914452190,1080,134000,20,RL,71.0,9187,Pave,No Alley Access,3,Bnk,1,Corner,0,Mitchel,Norm,Norm,1Fam,1Story,5,4,1983,1983,Gable,CompShg,VinylSd,VinylSd,No Veneer,0.0,1,3,PConc,3,3,1,5,336.0,1,0.0,748.0,1084.0,GasA,2,Y,3,1080,0,0,0.0,0.0,1,1,3,1,2,5,6,0,0,Attchd,1983.0,1,2.0,484.0,3,3,2,120,0,158,0,0,0,0,0,No Misc Feature,0,6,2007,WD ,Normal,0.007728311744856863,0.11755741809078045,0.2882333732448024,1.0,1.875,0.6000000000000001,24,24
